"","Provider.ID","Hospital.Name","ZIP.Code","County.Name","Phone.Number","HCAHPS.Measure.ID","HCAHPS.Question","HCAHPS.Answer.Description","HCAHPS.Answer.Percent","Number.of.Completed.Surveys","Survey.Response.Rate.Percent","Footnote","Measure.Start.Date","Measure.End.Date","Location","Location.1"
"211",461306,"GUNNISON VALLEY HOSPITAL",84634,"SANPETE",4.36e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",1,"Between 100 and 299",46,3,"01/01/2013 12:00:00 AM","########","64 EAST 100 NORTH
GUNNISON, UT 84634
(39.15662908000007, -111.81637890399998)","64 EAST 100 NORTH
GUNNISON, UT
(39.15662908000007, -111.81637890399998)"
"212",461302,"MOAB REGIONAL HOSPITAL",84532,"GRAND",4.36e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","450 WEST WILLIAMS WAY
MOAB, UT 84532
(38.57432819300004, -109.56012378099996)","450 WEST WILLIAMS WAY
MOAB, UT
(38.57432819300004, -109.56012378099996)"
"213",460011,"CASTLEVIEW HOSPITAL",84501,"CARBON",4.36e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",2,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","300 NORTH HOSPITAL DRIVE
PRICE, UT 84501
(39.60453376300006, -110.83118408299998)","300 NORTH HOSPITAL DRIVE
PRICE, UT
(39.60453376300006, -110.83118408299998)"
"214",460043,"OREM COMMUNITY HOSPITAL",84057,"UTAH",8.02e+09,"H_COMP_7_SA","Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who â€œStrongly Agreeâ€ they understood their care when they left the hospital",59,"300 or more",44,NA,"01/01/2013 12:00:00 AM","########","331 NORTH 400 WEST
OREM, UT 84057
(40.30326027600006, -111.70545684599995)","331 NORTH 400 WEST
OREM, UT
(40.30326027600006, -111.70545684599995)"
"215",461301,"FILLMORE COMMUNITY MEDICAL CENTER",84631,"MILLARD",4.36e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",0,"Fewer than 100",32,10,"01/01/2013 12:00:00 AM","########","674 SOUTH HIGHWAY 99
FILLMORE, UT 84631
(38.953819775000056, -112.33996106599994)","674 SOUTH HIGHWAY 99
FILLMORE, UT
(38.953819775000056, -112.33996106599994)"
"216",460054,"CACHE VALLEY SPECIALITY HOSPITAL",84341,"CACHE",4.36e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",22,"Between 100 and 299",60,NA,"01/01/2013 12:00:00 AM","########","2380 NORTH 400 EAST
NORTH LOGAN, UT 84341
(41.77553825700005, -111.82310081999998)","2380 NORTH 400 EAST
NORTH LOGAN, UT
(41.77553825700005, -111.82310081999998)"
"217",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",22,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"218",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",21,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"219",460052,"TIMPANOGOS REGIONAL HOSPITAL",84057,"UTAH",8.02e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",6,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","750 WEST 800 NORTH
OREM, UT 84057
(40.312087907000034, -111.71475115099997)","750 WEST 800 NORTH
OREM, UT
(40.312087907000034, -111.71475115099997)"
"220",460026,"SEVIER VALLEY MEDICAL CENTER",84701,"SEVIER",4.36e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",80,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","1000 NORTH MAIN STREET
RICHFIELD, UT 84701
(38.78209039200004, -112.08475199999998)","1000 NORTH MAIN STREET
RICHFIELD, UT
(38.78209039200004, -112.08475199999998)"
"221",460033,"GARFIELD MEMORIAL HOSPITAL",84759,"GARFIELD",4.36e+09,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",91,"Fewer than 100",31,6,"01/01/2013 12:00:00 AM","########","200 NORTH 400 EAST
PANGUITCH, UT 84759
(37.82597250800006, -112.42784327299995)","200 NORTH 400 EAST
PANGUITCH, UT
(37.82597250800006, -112.42784327299995)"
"222",460010,"INTERMOUNTAIN MEDICAL CENTER",84107,"SALT LAKE",8.02e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",1,"300 or more",35,NA,"01/01/2013 12:00:00 AM","########","5121 SOUTH COTTONWOOD STREET
MURRAY, UT 84107
(40.66034663600004; -111.89373522999995)","5121 SOUTH COTTONWOOD STREET
MURRAY, UT
(40.66034663600004, -111.89373522999995)"
"223",460023,"AMERICAN FORK HOSPITAL",84003,"UTAH",8.02e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",29,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","170 NORTH 1100 EAST
AMERICAN FORK, UT 84003
(40.38027072600005, -111.76904436599995)","170 NORTH 1100 EAST
AMERICAN FORK, UT
(40.38027072600005, -111.76904436599995)"
"224",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",8,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"225",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",5,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"226",461300,"DELTA COMMUNITY MEDICAL CENTER",84624,"MILLARD",4.36e+09,"H_COMP_6_Y_P","Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",91,"Fewer than 100",34,6,"01/01/2013 12:00:00 AM","########","126 SOUTH WHITE SAGE AVENUE
DELTA, UT 84624
(39.34974253100006, -112.56026558899998)","126 SOUTH WHITE SAGE AVENUE
DELTA, UT
(39.34974253100006, -112.56026558899998)"
"227",460003,"SALT LAKE REGIONAL MEDICAL CENTER",84102,"SALT LAKE",8.01e+09,"H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",21,"300 or more",31,NA,"01/01/2013 12:00:00 AM","########","1050 EAST SOUTH TEMPLE
SALT LAKE CITY, UT 84102
(40.76933693600006, -111.86093088199999)","1050 EAST SOUTH TEMPLE
SALT LAKE CITY, UT
(40.76933693600006, -111.86093088199999)"
"228",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",18,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
"229",461300,"DELTA COMMUNITY MEDICAL CENTER",84624,"MILLARD",4.36e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",17,"Fewer than 100",34,6,"01/01/2013 12:00:00 AM","########","126 SOUTH WHITE SAGE AVENUE
DELTA, UT 84624
(39.34974253100006, -112.56026558899998)","126 SOUTH WHITE SAGE AVENUE
DELTA, UT
(39.34974253100006, -112.56026558899998)"
"230",460026,"SEVIER VALLEY MEDICAL CENTER",84701,"SEVIER",4.36e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",17,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","1000 NORTH MAIN STREET
RICHFIELD, UT 84701
(38.78209039200004, -112.08475199999998)","1000 NORTH MAIN STREET
RICHFIELD, UT
(38.78209039200004, -112.08475199999998)"
"231",460035,"BEAVER VALLEY HOSPITAL",84713,"BEAVER",4.35e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",15,"Fewer than 100",28,10,"01/01/2013 12:00:00 AM","########","1109 NORTH 100 WEST
BEAVER, UT 84713
(38.289840242000025, -112.64318848899995)","1109 NORTH 100 WEST
BEAVER, UT
(38.289840242000025, -112.64318848899995)"
"232",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",21,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"233",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"234",460017,"BRIGHAM CITY COMMUNITY HOSPITAL",84302,"BOX ELDER",4.36e+09,"H_COMP_6_N_P","Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",15,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT 84302
(41.49152653600004, -112.02418016899998)","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT
(41.49152653600004, -112.02418016899998)"
"235",460057,"PARK CITY MEDICAL CENTER",84060,"SUMMIT",4.36e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",5,"300 or more",41,NA,"01/01/2013 12:00:00 AM","########","900 ROUND VALLEY DRIVE
PARK CITY, UT 84060
(40.68647486900005, -111.46651672699994)","900 ROUND VALLEY DRIVE
PARK CITY, UT
(40.68647486900005, -111.46651672699994)"
"236",460033,"GARFIELD MEMORIAL HOSPITAL",84759,"GARFIELD",4.36e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",12,"Fewer than 100",31,6,"01/01/2013 12:00:00 AM","########","200 NORTH 400 EAST
PANGUITCH, UT 84759
(37.82597250800006, -112.42784327299995)","200 NORTH 400 EAST
PANGUITCH, UT
(37.82597250800006, -112.42784327299995)"
"237",460054,"CACHE VALLEY SPECIALITY HOSPITAL",84341,"CACHE",4.36e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",23,"Between 100 and 299",60,NA,"01/01/2013 12:00:00 AM","########","2380 NORTH 400 EAST
NORTH LOGAN, UT 84341
(41.77553825700005, -111.82310081999998)","2380 NORTH 400 EAST
NORTH LOGAN, UT
(41.77553825700005, -111.82310081999998)"
"238",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",76,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"239",460017,"BRIGHAM CITY COMMUNITY HOSPITAL",84302,"BOX ELDER",4.36e+09,"H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",9,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT 84302
(41.49152653600004, -112.02418016899998)","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT
(41.49152653600004, -112.02418016899998)"
"240",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_COMP_4_U_P","Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",26,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"241",460044,"ALTA VIEW HOSPITAL",84094,"SALT LAKE",8.02e+09,"H_COMP_5_A_P","Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",68,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","9660 SOUTH 1300 EAST
SANDY, UT 84094
(40.575599778000026, -111.85317706999996)","9660 SOUTH 1300 EAST
SANDY, UT
(40.575599778000026, -111.85317706999996)"
"242",463301,"PRIMARY CHILDRENS HOSPITAL",84113,"SALT LAKE",8.02e+09,"H_RECMND_DY","Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT 84113
(40.76630043500006, -111.83674326999994)","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT
(40.76630043500006, -111.83674326999994)"
"243",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",43,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"244",460017,"BRIGHAM CITY COMMUNITY HOSPITAL",84302,"BOX ELDER",4.36e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",67,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT 84302
(41.49152653600004, -112.02418016899998)","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT
(41.49152653600004, -112.02418016899998)"
"245",460023,"AMERICAN FORK HOSPITAL",84003,"UTAH",8.02e+09,"H_COMP_5_A_P","Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",72,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","170 NORTH 1100 EAST
AMERICAN FORK, UT 84003
(40.38027072600005, -111.76904436599995)","170 NORTH 1100 EAST
AMERICAN FORK, UT
(40.38027072600005, -111.76904436599995)"
"246",460023,"AMERICAN FORK HOSPITAL",84003,"UTAH",8.02e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",19,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","170 NORTH 1100 EAST
AMERICAN FORK, UT 84003
(40.38027072600005, -111.76904436599995)","170 NORTH 1100 EAST
AMERICAN FORK, UT
(40.38027072600005, -111.76904436599995)"
"247",460003,"SALT LAKE REGIONAL MEDICAL CENTER",84102,"SALT LAKE",8.01e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",23,"300 or more",31,NA,"01/01/2013 12:00:00 AM","########","1050 EAST SOUTH TEMPLE
SALT LAKE CITY, UT 84102
(40.76933693600006, -111.86093088199999)","1050 EAST SOUTH TEMPLE
SALT LAKE CITY, UT
(40.76933693600006, -111.86093088199999)"
"248",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",8,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"249",460033,"GARFIELD MEMORIAL HOSPITAL",84759,"GARFIELD",4.36e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",4,"Fewer than 100",31,6,"01/01/2013 12:00:00 AM","########","200 NORTH 400 EAST
PANGUITCH, UT 84759
(37.82597250800006, -112.42784327299995)","200 NORTH 400 EAST
PANGUITCH, UT
(37.82597250800006, -112.42784327299995)"
"250",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_QUIET_HSP_U_P","Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"251",460043,"OREM COMMUNITY HOSPITAL",84057,"UTAH",8.02e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",5,"300 or more",44,NA,"01/01/2013 12:00:00 AM","########","331 NORTH 400 WEST
OREM, UT 84057
(40.30326027600006, -111.70545684599995)","331 NORTH 400 WEST
OREM, UT
(40.30326027600006, -111.70545684599995)"
"252",463301,"PRIMARY CHILDRENS HOSPITAL",84113,"SALT LAKE",8.02e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT 84113
(40.76630043500006, -111.83674326999994)","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT
(40.76630043500006, -111.83674326999994)"
"253",460005,"OGDEN REGIONAL MEDICAL CENTER",84405,"WEBER",8.01e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",27,"300 or more",36,NA,"01/01/2013 12:00:00 AM","########","5475 SOUTH 500 EAST
OGDEN, UT 84405
(41.16341207600004, -111.96866503299998)","5475 SOUTH 500 EAST
OGDEN, UT
(41.16341207600004, -111.96866503299998)"
"254",460009,"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS",84132,"SALT LAKE",8.02e+09,"H_QUIET_HSP_U_P","Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",30,"300 or more",31,NA,"01/01/2013 12:00:00 AM","########","50 NORTH MEDICAL DRIVE
SALT LAKE CITY, UT 84132
(40.77298795200005, -111.83684362499997)","50 NORTH MEDICAL DRIVE
SALT LAKE CITY, UT
(40.77298795200005, -111.83684362499997)"
"255",460019,"UINTAH BASIN MEDICAL CENTER",84066,"DUCHESNE",4.36e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",59,"300 or more",27,NA,"01/01/2013 12:00:00 AM","########","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT 84066
(40.303424936000056, -109.99608898599996)","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT
(40.303424936000056, -109.99608898599996)"
"256",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_COMP_7_SA","Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who â€œStrongly Agreeâ€ they understood their care when they left the hospital",52,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"257",460035,"BEAVER VALLEY HOSPITAL",84713,"BEAVER",4.35e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",34,"Fewer than 100",28,10,"01/01/2013 12:00:00 AM","########","1109 NORTH 100 WEST
BEAVER, UT 84713
(38.289840242000025, -112.64318848899995)","1109 NORTH 100 WEST
BEAVER, UT
(38.289840242000025, -112.64318848899995)"
"258",460023,"AMERICAN FORK HOSPITAL",84003,"UTAH",8.02e+09,"H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",19,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","170 NORTH 1100 EAST
AMERICAN FORK, UT 84003
(40.38027072600005, -111.76904436599995)","170 NORTH 1100 EAST
AMERICAN FORK, UT
(40.38027072600005, -111.76904436599995)"
"259",461307,"HEBER VALLEY MEDICAL CENTER",84032,"WASATCH",4.36e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",0,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","1485 SOUTH HIGHWAY 40
HEBER CITY, UT 84032
(40.488898352000035, -111.40908450799998)","1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.488898352000035, -111.40908450799998)"
"260",461306,"GUNNISON VALLEY HOSPITAL",84634,"SANPETE",4.36e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",19,"Between 100 and 299",46,3,"01/01/2013 12:00:00 AM","########","64 EAST 100 NORTH
GUNNISON, UT 84634
(39.15662908000007, -111.81637890399998)","64 EAST 100 NORTH
GUNNISON, UT
(39.15662908000007, -111.81637890399998)"
"261",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",73,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"262",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_6_N_P","Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",11,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"263",460059,"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC",84107,"SALT LAKE",8.01e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","4252 S BIRKHILL BLVD
MURRAY, UT 84107
(40.678414359000044, -111.89280785599999)","4252 S BIRKHILL BLVD
MURRAY, UT
(40.678414359000044, -111.89280785599999)"
"264",461301,"FILLMORE COMMUNITY MEDICAL CENTER",84631,"MILLARD",4.36e+09,"H_QUIET_HSP_U_P","Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",46,"Fewer than 100",32,10,"01/01/2013 12:00:00 AM","########","674 SOUTH HIGHWAY 99
FILLMORE, UT 84631
(38.953819775000056, -112.33996106599994)","674 SOUTH HIGHWAY 99
FILLMORE, UT
(38.953819775000056, -112.33996106599994)"
"265",460014,"MOUNTAIN WEST MEDICAL CENTER",84074,"TOOELE",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",8,"300 or more",34,NA,"01/01/2013 12:00:00 AM","########","2055 NORTH MAIN STREET
TOOELE, UT 84074
(40.566694193000046, -112.29591041599997)","2055 NORTH MAIN STREET
TOOELE, UT
(40.566694193000046, -112.29591041599997)"
"266",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",75,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
"267",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",11,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
